排名,搜索词,搜索人气,点击率,支付转化率
1,浴缸,5000 ~ 1万,56%,1% ~ 2.5%
2,浴缸国家补贴,300 ~ 600,46%,0% ~ 1%
3,浴缸家用小户型,300 ~ 600,54%,0% ~ 1%
4,浴缸家用成人,150 ~ 300,50%,5% ~ 7.5%
5,toto浴缸,150 ~ 300,60%,-
6,小浴缸,150 ~ 300,35%,-
7,泡澡浴缸,150 ~ 300,67%,2.5% ~ 5%
8,浴缸家用,150 ~ 300,47%,1% ~ 2.5%
9,家用浴缸,150 ~ 300,76%,5% ~ 7.5%
10,科勒浴缸,150 ~ 300,70%,1% ~ 2.5%
11,亚克力浴缸,150 ~ 300,91%,1% ~ 2.5%
12,浪鲸卫浴官方旗舰店正品,50 ~ 150,173%,2.5% ~ 5%
13,浴缸双人情趣,50 ~ 150,21%,-
14,浴缸小户型,50 ~ 150,56%,1% ~ 2.5%
15,九牧浴缸,50 ~ 150,105%,1% ~ 2.5%
16,浴缸小户型家用,50 ~ 150,60%,-
17,可移动小浴缸,50 ~ 150,46%,2.5% ~ 5%
18,箭牌浴缸,50 ~ 150,103%,1% ~ 2.5%
19,小户型浴缸,50 ~ 150,68%,2.5% ~ 5%
20,浪鲸浴缸,50 ~ 150,71%,-
21,深泡浴缸,50 ~ 150,70%,1% ~ 2.5%
22,步入式浴缸,50 ~ 150,35%,-
23,日式浴缸,50 ~ 150,68%,-
24,嵌入式浴缸,50 ~ 150,74%,-
25,双人浴缸,50 ~ 150,52%,-
26,新型泡澡浴缸,50 ~ 150,52%,10% ~ 15%
27,人造石浴缸,50 ~ 150,130%,-
28,浴缸亚克力,50 ~ 150,77%,-
29,陶瓷浴缸,50 ~ 150,57%,-
30,迷你浴缸,50 ~ 150,51%,-
31,浴缸2026新款,50 ~ 150,40%,-
32,圆形浴缸,50 ~ 150,67%,2.5% ~ 5%
33,toto深泡浴缸,50 ~ 150,60%,-
34,浴缸陶瓷一体,50 ~ 150,30%,-
35,恒洁浴缸,20 ~ 50,55%,-
36,坐式浴缸,20 ~ 50,61%,2.5% ~ 5%
37,家用小型浴缸,20 ~ 50,49%,-
38,小户型浴缸家用,20 ~ 50,32%,-
39,小米智能浴缸,20 ~ 50,35%,-
40,定制浴缸,20 ~ 50,99%,-
41,方形浴缸,20 ~ 50,42%,-
42,特拉维尔浴缸,20 ~ 50,166%,-
43,铸铁浴缸,20 ~ 50,102%,-
44,扇形浴缸,20 ~ 50,76%,-
45,浴缸嵌入式,20 ~ 50,41%,-
46,新型浴缸,20 ~ 50,62%,-
47,浴缸toto,20 ~ 50,22%,-
48,深泡缸,20 ~ 50,78%,-
49,浴缸定制,20 ~ 50,107%,-
50,浴缸人造石,20 ~ 50,177%,2.5% ~ 5%
51,ssww,20 ~ 50,102%,-
52,独立浴缸,20 ~ 50,114%,5% ~ 7.5%
53,日式小浴缸,20 ~ 50,48%,-
54,亚克力浴缸家用,20 ~ 50,85%,-
55,免安装浴缸,20 ~ 50,44%,-
56,小浴缸家用,20 ~ 50,24%,-
57,成品浴缸,20 ~ 50,39%,-
58,法恩莎浴缸,20 ~ 50,170%,-
